family,A.art_S7,A.tri_S6,B.pap_S3,B.sco_S5,C.ill_S4,mix10_S37,mix10_S38,mix10_S39,mix11_S40,mix11_S41,mix11_S42,mix12_S43,mix12_S44,mix12_S45,mix13_S46,mix13_S47,mix13_S48,mix14_S49,mix14_S50,mix14_S51,mix15_S52,mix15_S53,mix15_S54,mix16_S55,mix16_S56,mix16_S57,mix17_S58,mix17_S59,mix17_S60,mix18_S61,mix18_S62,mix18_S63,mix19_S64,mix19_S65,mix19_S66,mix1_S10,mix1_S11,mix1_S12,mix20_S67,mix20_S68,mix20_S69,mix21_S70,mix21_S71,mix21_S72,mix22_S73,mix22_S74,mix22_S75,mix23_S76,mix23_S77,mix23_S78,mix24_S79,mix24_S80,mix24_S81,mix25_S82,mix25_S83,mix25_S84,mix26_S85,mix26_S86,mix26_S87,mix27_S88,mix27_S89,mix27_S90,mix28_S91,mix28_S92,mix28_S93,mix2_S13,mix2_S14,mix2_S15,mix3_S16,mix3_S17,mix3_S18,mix4_S19,mix4_S20,mix4_S21,mix5_S22,mix5_S23,mix5_S24,mix6_S25,mix6_S26,mix6_S27,mix7_S28,mix7_S29,mix7_S30,mix8_S31,mix8_S32,mix8_S33,mix9_S34,mix9_S35,mix9_S36,P.del_S2,P.pra_S8,P.tre_S1,Z.mays_S9
Aceraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthaceae,754,0,0,40832,43,0,0,0,0,0,0,0,0,0,0,0,0,936,1034,1694,617,1472,997,0,0,0,0,0,0,0,0,0,13665,11296,9545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,67,379,264,1540,448,375,174,619,5101,2351,3143,1621,1512,972,1058,467,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asteraceae,10045,9698,0,0,0,0,0,0,0,0,0,0,0,0,548,389,630,154,151,283,105,203,174,4982,5136,7888,0,0,0,13984,6288,8509,0,0,0,843,1805,758,0,0,0,0,0,0,0,0,0,0,0,0,43603,5396,11946,7444,8705,3451,54984,45383,57022,39246,146626,53259,26583,23529,47870,944,487,632,263,247,191,162,72,140,0,0,0,0,0,0,1367,2228,1215,0,0,0,0,0,0,0,0,0,0
Cupressaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
Fagaceae,171,0,112,0,74,0,0,0,0,0,0,78,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,85,88,40,75,0,0,0,0,116,130,102,45,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,54,38,0,0,0,0,0,0,0,0,0,0,0,0,60,77,59,0,61,64,0,0,0,0,0,0,0
Juglandaceae,0,0,0,0,51075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3097,1451,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraceae,564,0,44964,0,582,362,4075,3798,3168,3514,4591,23584,8701,21854,11738,9989,11340,3173,3636,5508,2135,5552,3861,0,0,0,4030,7577,3654,0,0,0,33527,32614,33259,13002,29491,12427,94,0,106,32548,42540,37345,17289,13572,42355,3186,8651,4701,0,0,0,51,45,0,136,74,65,793,3399,1082,131,170,268,20109,11565,12805,4294,4210,3655,4334,1570,3472,0,0,0,0,0,0,13431,20751,15915,2103,19937,13389,5715,7646,334,0,0,0,0
Oleaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinaceae,0,0,0,0,4409,76,767,695,722,887,1210,0,0,0,242,175,230,80,57,135,39,92,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,144,120,153,106,2391,140,503,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,184,218,146,153,83,104,0,81,0,0,0,760,466,720,0,0,0,59,555,512,568,799,0,0,1123,0,0
Platanaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poaceae,379,0,0,40,393,1978,19105,19756,21341,22078,26852,21971,8444,20819,16650,14729,18506,5779,6490,10227,3731,9449,6321,0,0,0,0,0,0,0,0,0,0,0,0,9522,21794,9393,52949,17896,62572,5180,7043,4856,8849,6516,33130,6528,18479,8816,0,0,0,0,0,0,47,0,273,58,746,347,82,64,217,26968,14355,16898,9626,8664,7017,6940,2746,5740,0,0,0,31360,37149,46543,0,0,0,3371,19410,12672,17889,24363,1110,0,20649,0,39615
Rosaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salicaceae,303,0,91,0,437,0,0,0,0,0,0,39,0,43,0,0,0,24961,27654,40830,13890,37352,25588,0,0,0,33466,58224,26906,77,66,64,68,45,0,0,68,0,0,0,0,53,69,53,0,0,112,0,0,0,135,0,57,0,0,0,248,210,260,223,737,354,59,0,94,41,0,0,33772,30418,28291,43606,16117,38566,45315,49584,92105,0,0,0,0,53,0,0,0,0,0,0,0,45221,0,41496,0
Sarcobataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urticaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137