genus,A.art_S7,A.tri_S6,B.pap_S3,B.sco_S5,C.ill_S4,mix10_S37,mix10_S38,mix10_S39,mix11_S40,mix11_S41,mix11_S42,mix12_S43,mix12_S44,mix12_S45,mix13_S46,mix13_S47,mix13_S48,mix14_S49,mix14_S50,mix14_S51,mix15_S52,mix15_S53,mix15_S54,mix16_S55,mix16_S56,mix16_S57,mix17_S58,mix17_S59,mix17_S60,mix18_S61,mix18_S62,mix18_S63,mix19_S64,mix19_S65,mix19_S66,mix1_S10,mix1_S11,mix1_S12,mix20_S67,mix20_S68,mix20_S69,mix21_S70,mix21_S71,mix21_S72,mix22_S73,mix22_S74,mix22_S75,mix23_S76,mix23_S77,mix23_S78,mix24_S79,mix24_S80,mix24_S81,mix25_S82,mix25_S83,mix25_S84,mix26_S85,mix26_S86,mix26_S87,mix27_S88,mix27_S89,mix27_S90,mix28_S91,mix28_S92,mix28_S93,mix2_S13,mix2_S14,mix2_S15,mix3_S16,mix3_S17,mix3_S18,mix4_S19,mix4_S20,mix4_S21,mix5_S22,mix5_S23,mix5_S24,mix6_S25,mix6_S26,mix6_S27,mix7_S28,mix7_S29,mix7_S30,mix8_S31,mix8_S32,mix8_S33,mix9_S34,mix9_S35,mix9_S36,P.del_S2,P.pra_S8,P.tre_S1,Z.mays_S9
Acer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrimonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,67,327,264,1297,382,337,174,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1524,1209,1659,3200,11170,4045,3308,3184,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,51,0,0,0,373,280,366,218,859,300,111,135,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bassia,0,0,0,39253,43,0,0,0,0,0,0,0,0,0,0,0,0,845,961,1538,561,1341,913,0,0,0,0,0,0,0,0,0,12776,10749,9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,2209,2922,1459,1381,879,974,414,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broussonetia,411,0,33894,0,152,230,2967,2324,2328,2407,3278,17521,5861,15722,8399,7063,7817,2184,2560,3910,1396,3880,2723,0,0,0,2135,4801,2241,0,0,0,24016,24589,25807,9471,21477,8178,94,0,62,24764,31748,28699,12507,9767,29959,2086,6008,3327,0,0,0,51,45,0,89,74,65,573,2426,723,90,118,176,13359,8256,8457,2973,2848,2549,3074,996,2407,0,0,0,0,0,0,9355,10147,11815,453,14703,9849,4296,5610,236,0,0,0,0
Chenopodium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitaria,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinochloa,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,155,92,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperata,0,0,0,0,0,0,0,0,0,0,0,8909,3381,8437,3209,2964,3612,1060,1332,1959,787,1812,1109,0,0,0,0,0,0,0,0,0,0,0,0,3811,8784,4271,20289,7571,25732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,2639,2929,1493,1456,1196,1171,460,1013,0,0,0,4990,7189,8589,0,0,0,0,0,0,0,0,0,0,0,0,14339
Juglans,0,0,0,0,28391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,831,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laportea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucanthemum,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,105,111,0,0,0,197,88,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,130,183,139,120,50,602,471,637,437,1466,639,379,183,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
Lolium,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melilotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
Phleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinus,0,0,0,0,4361,76,767,695,722,887,1210,0,0,0,242,175,230,80,57,135,39,92,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,144,120,153,106,2391,140,503,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,184,218,146,153,83,104,0,81,0,0,0,760,466,720,0,0,0,59,555,512,568,799,0,0,1123,0,0
Platanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa,0,0,0,0,0,1310,14105,13541,15403,15450,19014,0,0,0,5700,4984,5939,1813,2038,3229,1229,3195,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3814,5185,3536,6368,4529,22025,4609,13096,6271,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,9809,5299,6150,3069,2819,2402,2489,953,2027,0,0,0,10924,13777,16582,0,0,0,1395,13347,9018,13166,17429,794,0,12614,0,0
Populus,303,0,91,0,437,0,0,0,0,0,0,39,0,43,0,0,0,24796,27481,40541,13786,37074,25408,0,0,0,33154,57804,26702,77,66,64,68,45,0,0,68,0,0,0,0,53,69,53,0,0,112,0,0,0,135,0,57,0,0,0,248,210,260,223,737,354,59,0,94,41,0,0,33508,30194,28091,43272,16008,38325,45055,49266,91555,0,0,0,0,53,0,0,0,0,0,0,0,44984,0,41247,0
Robinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcobatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigonobalanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urtica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
Xanthium,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,53,73,134,684,233,193,180,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0